Ch1 Amplitude,Ch2 Amplitude,Cluster
778.592834,4289.091,3
798.0183,3925.968,3
826.2199,2978.75586,3
831.973938,5000.79053,3
832.4021,5121.15967,3
835.560364,5105.0293,3
856.287842,4642.682,3
859.8941,3904.28052,3
860.269531,5083.6167,3
872.8375,3530.85352,3
882.7468,4746.37549,3
882.846,4892.35059,3
889.864868,5319.78662,3
890.7319,4219.432,3
893.184448,4865.054,3
895.362854,5041.073,3
897.216064,4953.661,3
900.030457,5113.66455,3
900.1441,4606.14746,3
900.4615,4685.64941,3
900.7918,5238.684,3
901.2605,4751.142,3
901.7203,4421.874,3
904.9395,4986.853,3
905.4925,4614.675,3
905.759033,4736.166,3
906.3035,5261.115,3
906.360535,4319.234,3
909.36145,4628.479,3
909.8796,4300.55225,3
910.335449,4656.009,3
911.5612,4921.478,3
912.3952,4707.55664,3
912.5372,4771.874,3
912.8473,4411.30273,3
913.9223,4814.703,3
914.1398,4306.09033,3
914.602844,4900.947,3
914.9483,4966.59,3
915.861755,3594.30371,3
917.8088,4892.532,3
918.113159,4713.44531,3
918.4319,4831.74854,3
919.4676,5066.764,3
919.664734,4617.957,3
920.017639,4462.1167,3
920.3272,4727.669,3
920.461853,5000.201,3
921.4092,4859.53662,3
923.701,4736.79346,3
923.9594,5015.84375,3
925.002136,4737.801,3
925.0769,4924.401,3
925.400146,4573.954,3
925.863159,4893.84326,3
926.4202,4907.402,3
926.5259,4934.763,3
929.1376,5010.41455,3
930.0215,4775.006,3
930.1847,5150.735,3
931.3397,5047.295,3
932.1563,4856.1377,3
933.0905,5067.0874,3
934.0767,4405.323,3
934.6095,5031.52539,3
935.811,4768.492,3
935.8226,4340.495,3
936.436768,5187.70947,3
936.6855,5103.479,3
936.952637,4880.151,3
938.298462,4869.17871,3
938.612854,4537.15,3
938.754333,4721.03857,3
940.432251,4045.323,3
940.991638,4912.168,3
941.175232,4949.76953,3
941.217163,5079.2793,3
941.2513,4644.209,3
942.293457,4903.781,3
942.6679,5143.778,3
943.8716,4614.483,3
944.285767,5160.63525,3
944.364868,4881.11133,3
944.825867,4714.508,3
946.636169,4816.49854,3
948.3544,4822.13574,3
948.6933,4931.881,3
949.8573,5028.888,3
949.8977,4553.38037,3
949.9399,4787.876,3
950.412842,4846.249,3
952.5409,4959.57373,3
954.0183,5294.15967,3
954.202,4091.999,3
954.7682,4867.75244,3
955.479,4572.814,3
955.6771,4771.842,3
955.7279,4541.09961,3
957.2699,4944.032,3
958.479065,3842.88062,3
959.1448,4828.81934,3
959.422241,4950.349,3
959.785645,4710.65,3
960.8554,5159.8623,3
961.6839,4733.74658,3
962.3982,4780.81934,3
962.420959,4852.48535,3
962.5449,4751.771,3
963.1993,5008.966,3
963.8054,935.25415,3
963.920532,4684.72266,3
963.9308,5166.427,3
965.122742,4666.30225,3
967.569763,4978.667,3
967.9526,4677.35742,3
969.5458,4895.869,3
969.788269,4985.709,3
970.0367,4608.989,3
971.277954,4746.801,3
971.2923,4697.416,3
972.759033,4962.7334,3
973.87854,5271.8667,3
974.670654,4999.782,3
974.909851,4227.57666,3
976.3994,5241.29834,3
976.658752,4339.697,3
977.3181,4929.60742,3
978.293762,4875.95068,3
980.2701,3954.11621,3
980.6987,4629.44727,3
982.330261,4602.282,3
983.409,4501.452,3
984.0229,5033.18164,3
984.5271,4597.8374,3
984.8342,4766.34473,3
986.4837,4763.526,3
986.5333,4767.52637,3
986.7375,4162.85449,3
988.2381,4681.37842,3
988.423767,4497.09131,3
988.4387,4998.28125,3
989.567566,4812.531,3
989.865234,4663.81738,3
990.708069,4370.625,3
991.7602,4873.321,3
992.9558,4736.9126,3
993.290649,4918.855,3
993.853638,4788.074,3
997.0988,4522.52246,3
999.7249,5209.669,3
1000.59052,4702.34375,3
1000.89771,5004.21436,3
1001.10217,4698.188,3
1002.20026,4629.44141,3
1003.00079,4645.53467,3
1003.5047,4452.45166,3
1003.55249,4826.87842,3
1003.58246,4944.95166,3
1004.48425,5276.25635,3
1004.5943,4923.441,3
1006.83112,4970.17432,3
1007.471,4866.83545,3
1010.13983,4652.55469,3
1010.20251,5172.81934,3
1012.10614,4514.9917,3
1012.65955,4436.644,3
1013.472,5131.48438,3
1013.63049,4852.42041,3
1014.37213,4808.42725,3
1015.911,4436.11865,3
1018.57465,4391.615,3
1020.80243,4901.369,3
1025.216,4742.55762,3
1025.473,4586.566,3
1025.90173,5113.84326,3
1026.16321,4561.91,3
1027.469,5153.925,3
1029.073,5269.09766,3
1031.05237,4936.609,3
1031.06,5371.071,3
1034.73462,4975.412,3
1035.50073,4627.2666,3
1040.26733,4675.65967,3
1042.87939,4979.17,3
1043.96252,4678.54053,3
1043.97461,4428.092,3
1046.8457,5188.927,3
1054.59375,4795.551,3
1054.99768,4340.348,3
1067.98462,4743.383,3
1076.74854,4890.80273,3
1077.7627,4331.11865,3
1090.11658,4639.673,3
1095.00293,4551.57861,3
1109.79016,4985.09473,3
1141.9231,5083.151,3
1143.46,5001.844,3
1152.58936,4543.18262,3
1195.91479,4985.763,3
1269.1355,2478.85986,3
1278.12537,1160.54614,3
1416.982,3193.32251,3
1418.054,4106.962,3
1507.18188,3984.711,3
1535.44409,4150.613,3
1556.82666,3556.097,3
1599.4696,4656.837,3
1695.67883,4137.70264,3
1783.30029,4673.686,3
1784.22412,3391.50854,3
1943.49023,2885.502,3
1972.11182,3083.42334,3
2198.48047,1166.81409,3
2239.22461,1031.71362,3
2244.51782,1036.99353,3
2248.63843,1110.5127,3
2254.49976,1043.95557,3
2254.84644,1057.15637,3
2260.951,1123.73914,3
2264.606,1090.81226,3
2264.84766,1062.88965,3
2266.85083,1120.35181,3
2266.893,1141.43726,3
2269.24146,990.518433,3
2270.504,1097.2146,3
2271.02319,1184.40613,3
2271.387,1085.409,3
2271.64331,1032.20569,3
2272.44678,992.969666,3
2272.46265,1035.93811,3
2272.65015,1126.48352,3
2272.87451,1118.71265,3
2274.51733,1123.67554,3
2274.9873,1152.98,3
2275.40161,1010.04712,3
2276.49341,1117.21521,3
2278.86719,1109.79517,3
2279.81372,1085.74268,3
2282.673,1158.25488,3
2285.443,1047.58984,3
2285.57861,1147.04089,3
2285.99365,1116.337,3
2286.21753,1117.46375,3
2286.67749,1186.725,3
2286.95532,1103.60864,3
2286.9978,1028.51978,3
2287.53345,1078.54553,3
2287.67822,1060.67468,3
2288.04126,1086.37842,3
2288.1167,1104.36768,3
2288.25854,1043.00879,3
2288.55566,1057.865,3
2288.99731,1101.837,3
2289.38159,1086.40845,3
2290.523,1056.25671,3
2291.32715,1168.24451,3
2291.4646,1045.10278,3
2293.06567,1083.75159,3
2293.51563,1076.98816,3
2293.63721,1053.68372,3
2293.647,1107.73425,3
2293.6687,1069.35754,3
2293.76147,996.1917,3
2294.03076,1129.77637,3
2294.394,1144.61621,3
2294.48828,1078.83679,3
2294.52881,1082.29749,3
2294.672,1047.33325,3
2295.276,1112.77686,3
2295.94434,983.1254,3
2296.13843,1129.616,3
2296.70581,1094.5592,3
2296.829,1095.94446,3
2297.21069,1097.76636,3
2297.403,1020.23529,3
2297.61475,1077.76843,3
2298.516,1028.255,3
2298.58984,968.8591,3
2298.62622,1142.29248,3
2299.31421,1084.59888,3
2299.48169,1037.31458,3
2300.15845,1064.54749,3
2301.00732,1095.166,3
2301.13672,1101.52478,3
2301.18481,1121.78906,3
2301.40527,1143.578,3
2301.4563,1035.99683,3
2301.815,1058.08228,3
2301.86841,1063.14343,3
2302.236,1098.08142,3
2302.6333,1092.50159,3
2302.7395,1002.2995,3
2302.984,1093.42224,3
2303.067,1065.9895,3
2303.11572,1040.409,3
2303.21948,1057.96619,3
2303.27661,1072.36438,3
2303.83545,1053.30835,3
2304.13477,1134.88782,3
2304.31982,1075.44556,3
2304.89478,1052.82019,3
2305.1062,1045.58289,3
2305.16284,1024.40784,3
2305.194,1135.61755,3
2305.26685,1098.83057,3
2305.34888,1036.13733,3
2305.37134,1033.43176,3
2305.379,1075.76733,3
2305.44678,1097.17224,3
2305.55469,1020.13733,3
2305.68237,1052.91736,3
2305.83936,1121.25671,3
2306.48975,1069.42273,3
2306.536,1053.28809,3
2306.58984,1086.67664,3
2306.857,1148.80383,3
2307.14063,1060.59009,3
2307.17017,1095.77393,3
2307.273,1124.82593,3
2307.343,1098.10913,3
2307.43872,1102.61169,3
2307.5437,1053.22412,3
2307.99927,1051.97144,3
2308.21875,1000.95984,3
2308.534,1120.6333,3
2308.69556,1056.52,3
2308.82129,1125.16748,3
2309.08545,1157.201,3
2309.191,1083.6698,3
2309.31982,1126.17664,3
2309.713,1093.731,3
2309.86279,1058.6123,3
2310.06055,1080.29163,3
2310.16382,1097.44031,3
2310.29468,1109.66406,3
2310.42749,1064.28186,3
2310.44287,1014.34052,3
2310.52222,1090.732,3
2310.64575,987.8713,3
2310.877,1049.93665,3
2310.98218,1038.15466,3
2311.134,1121.45544,3
2311.14136,1141.47339,3
2311.23267,1139.66724,3
2311.297,956.7383,3
2311.84351,1107.14221,3
2311.96558,1107.001,3
2312.23657,1112.89783,3
2312.91528,1181.70361,3
2313.29834,1098.4425,3
2313.57544,1015.28668,3
2313.58838,1154.44678,3
2313.771,1098.01526,3
2313.812,959.8027,3
2313.83813,1104.63574,3
2314.10254,1165.08179,3
2314.258,1068.51245,3
2314.65942,1010.4126,3
2314.8147,1014.59351,3
2314.86426,1124.04626,3
2314.86719,1062.78967,3
2314.99243,1031.15149,3
2315.055,1031.587,3
2315.07983,998.0828,3
2315.3374,1097.29138,3
2315.527,1121.63074,3
2315.76123,1053.21814,3
2315.77368,1034.8158,3
2315.87451,1043.21436,3
2315.92261,1089.32617,3
2316.051,1025.968,3
2316.19458,1073.99023,3
2316.46826,1011.36035,3
2316.50586,1060.91455,3
2316.511,985.401733,3
2316.52246,989.7437,3
2316.784,1134.32776,3
2316.862,1145.50708,3
2317.14233,988.1483,3
2317.231,1126.7616,3
2317.29443,1113.89539,3
2317.34766,1119.61255,3
2317.49829,1066.82983,3
2317.559,1056.19751,3
2317.74023,1074.12341,3
2317.85669,1045.571,3
2317.8877,1078.13184,3
2318.21924,1073.71167,3
2318.32715,1070.44617,3
2318.50439,1045.08325,3
2318.792,1063.62378,3
2318.83887,1041.57263,3
2318.90063,1015.13177,3
2319.05151,1105.28735,3
2319.05933,1079.37573,3
2319.14,1089.17786,3
2319.22559,1007.90289,3
2319.41064,1166.96362,3
2319.411,1022.323,3
2319.43213,1082.86462,3
2319.50757,1039.13831,3
2319.91724,1003.55762,3
2319.9353,1003.42285,3
2320.13428,1092.92944,3
2320.321,1091.0094,3
2320.35132,1078.871,3
2320.48486,1034.43774,3
2320.51587,1066.82117,3
2320.5686,1031.613,3
2320.61816,1079.1134,3
2320.743,1216.1875,3
2320.82935,1059.72278,3
2320.85327,1181.977,3
2320.8623,1113.06042,3
2320.948,1083.38159,3
2321.136,1101.32983,3
2321.157,1110.92,3
2321.16113,1115.20923,3
